"event","time","long","lat","speed","height","stage","tag"
1583646839,2012-03-31 02:00:00,-121.607176823555,38.6851718549683,0,30,"preHatching","105930"
1583651111,2012-03-31 02:00:00,-121.592005482079,38.7591657076588,0,40,"arrival","105936"
1583646840,2012-03-31 03:00:00,-121.607830000421,38.6839999996977,0,30,"preHatching","105930"
1583646841,2012-03-31 16:00:00,-121.608170000061,38.6856699997764,0,30,"preHatching","105930"
1583651112,2012-03-31 16:00:00,-121.578500000308,38.7553299999945,0,30,"arrival","105936"
1583646842,2012-03-31 17:00:00,-121.607999999729,38.6856700000336,0,30,"preHatching","105930"
1583646843,2012-03-31 18:00:00,-121.608169999978,38.6863300003427,0.51444,30,"preHatching","105930"
1583651113,2012-03-31 18:00:00,-121.591830000175,38.7593299998168,0,30,"arrival","105936"
1583646844,2012-03-31 19:00:00,-121.607999999937,38.6858300002867,0,30,"preHatching","105930"
1583646845,2012-03-31 20:00:00,-121.606999999436,38.6858299997117,0,40,"preHatching","105930"
1583651114,2012-03-31 20:00:00,-121.593670000101,38.7583300002092,0,40,"arrival","105936"
1583646846,2012-03-31 21:00:00,-121.606670000527,38.684829999799,0.51444,30,"preHatching","105930"
1583646847,2012-03-31 22:00:00,-121.605990868534,38.6848285241525,14.40432,60,"preHatching","105930"
1583651115,2012-03-31 22:00:00,-121.594999999643,38.7581700003226,0,30,"arrival","105936"
1583646848,2012-03-31 23:00:00,-121.607159756893,38.6851709472625,0,30,"preHatching","105930"
1583646849,2012-04-01 00:00:00,-121.606670000181,38.6861700004293,0,30,"preHatching","105930"
1583651116,2012-04-01 00:00:00,-121.594330000471,38.7581700001632,0,30,"arrival","105936"
1583646850,2012-04-01 01:00:00,-121.606500000394,38.6860000002974,0,30,"preHatching","105930"
1583646851,2012-04-01 02:00:00,-121.614829999941,38.6973299998176,0,30,"preHatching","105930"
1583651117,2012-04-01 02:00:00,-121.596500000565,38.7666699999526,5.65884,30,"arrival","105936"
1583646852,2012-04-01 03:00:00,-121.614669999775,38.6966700003116,0,30,"preHatching","105930"
1583646853,2012-04-01 16:00:00,-121.606326202287,38.6851751652496,0,30,"preHatching","105930"
1583651118,2012-04-01 16:00:00,-121.580000000037,38.7573300001758,0,30,"arrival","105936"
1583646854,2012-04-01 17:00:00,-121.6071699996,38.685329999701,0.51444,30,"preHatching","105930"
1583646855,2012-04-01 18:00:00,-121.612170000567,38.6776699996297,14.40432,160,"preHatching","105930"
1583651119,2012-04-01 18:00:00,-121.593830000094,38.7588299999542,0,80,"arrival","105936"
1583646856,2012-04-01 19:00:00,-121.608670000444,38.6818299998902,1.02888,140,"preHatching","105930"
